"STAIDT","obs_median","preds_median","medOE","FFM"
"T11433260",70.5,67.2666666666667,1.04806739345887,"Wet_Tim"
"T11449500",61.5,67.5,0.911111111111111,"Wet_Tim"
"T11451100",73.5,65.05,1.12990007686395,"Wet_Tim"
"T11464500",59.5,61.05,0.974610974610975,"Wet_Tim"
"T11467500",56,58,0.96551724137931,"Wet_Tim"
"T11467600",44,56.8,0.774647887323944,"Wet_Tim"
"T11468000",63.5,63.95,0.992963252541048,"Wet_Tim"
"T11468500",63,59.325,1.06194690265487,"Wet_Tim"
"T11472900",63,53,1.18867924528302,"Wet_Tim"
"T11473900",56.5,58.5166666666667,0.965536884078609,"Wet_Tim"
"T11474500",50,50.2,0.99601593625498,"Wet_Tim"
"T11475500",46,45.1666666666667,1.01845018450185,"Wet_Tim"
"T11475560",60,48.9166666666667,1.22657580919932,"Wet_Tim"
"T11475800",56,56.4,0.99290780141844,"Wet_Tim"
"T11476500",49,48.4,1.01239669421488,"Wet_Tim"
"T11476600",55,52.4,1.04961832061069,"Wet_Tim"
"T11477000",52,50,1.04,"Wet_Tim"
"T11478500",44,56,0.785714285714286,"Wet_Tim"
"T11480390",58,61,0.950819672131147,"Wet_Tim"
"T11481200",42,52.225,0.80421254188607,"Wet_Tim"
"T11481500",45.5,48.0541666666666,0.94684817480274,"Wet_Tim"
"T11482500",44,43.9,1.00227790432802,"Wet_Tim"
"T11522500",53,59.5,0.890756302521008,"Wet_Tim"
"T11523200",89.5,65,1.37692307692308,"Wet_Tim"
"T11526500",56,62.2,0.90032154340836,"Wet_Tim"
"T11528700",64.5,59.5833333333333,1.08251748251748,"Wet_Tim"
"T11532500",36,39.3333333333333,0.915254237288136,"Wet_Tim"
