FID,CLASS,COMID,REACHCODE,GNIS_ID,GNIS_NAME
24807,3,948020267,1.802E+13,0, 
24808,3,14997349,1.80201E+13,263517,Middle Fork American River
24809,4,2847985,1.80201E+13,0, 
24810,3,8064025,1.80201E+13,267540,South Yuba River
24811,3,8039819,1.80201E+13,0, 
24812,6,8007555,1.80201E+13,266680,East Fork Middle Creek
24813,3,2800849,1.80202E+13,219982,Buck Creek
24814,6,7984167,1.80202E+13,0, 
24815,5,7950882,1.802E+13,1654947,Pit River
24816,3,948021013,1.80201E+13,0, 
24817,3,15014361,1.80201E+13,267715,Steephollow Creek
24818,3,8041879,1.80201E+13,0, 
24819,3,14983698,1.80201E+13,229771,North Tragedy Creek
24820,7,8009055,1.80201E+13,0, 
24821,7,2849815,1.80201E+13,233419,Antelope Creek
24822,3,8058141,1.80201E+13,265754,Salmon Creek
24823,1,14982064,1.80201E+13,1654958,South Fork American River
24824,4,2843377,1.80201E+13,224333,Gopher Creek
24825,3,7949012,1.802E+13,260032,Fall River
24826,3,8039277,1.80201E+13,0, 
24827,3,948021007,1.80201E+13,0, 
24828,3,7996181,1.80201E+13,235057,South Fork Stony Creek
24829,7,7994765,1.80201E+13,0, 
24830,3,8058335,1.80201E+13,264569,Pauley Creek
24831,7,7993169,1.80201E+13,267782,Stony Creek
24832,3,14992927,1.80201E+13,259264,Dellar Creek
24833,3,8041751,1.80201E+13,0, 
24834,6,8007557,1.80201E+13,266680,East Fork Middle Creek
24835,7,7994305,1.80201E+13,267782,Stony Creek
24836,4,2848901,1.80201E+13,232494,Sand Creek
24837,3,7947940,1.802E+13,0, 
24838,6,8006105,1.80201E+13,0, 
24839,3,8060725,1.80201E+13,263552,Middle Yuba River
24840,6,8007661,1.80201E+13,235704,Sulphur Creek
24841,6,4296389,1.80202E+13,267446,South Fork Cottonwood Creek
24842,3,7990371,1.80201E+13,0, 
24843,3,2772702,1.80201E+13,0, 
24844,2,8062519,1.80201E+13,238295,Yuba River
24845,4,2855731,1.80201E+13,0, 
24846,3,8039933,1.80201E+13,259767,East Nelson Creek
24847,3,8029282,1.80201E+13,267166,Red Clover Creek
24848,3,7982994,1.80201E+13,0, 
24849,3,8039637,1.80201E+13,261460,Hopkins Creek
24850,6,2782657,1.80202E+13,258433,Clear Creek
24851,4,2853447,1.80201E+13,239763,Buckeye Creek
24852,3,8041941,1.80201E+13,256938,Big Grizzly Creek
24853,3,7928475,1.802E+13,0, 
24854,6,2848695,1.80201E+13,232311,Salt Creek
24855,4,2843637,1.80201E+13,0, 
24856,4,2776044,1.80201E+13,267427,South Fork Berry Creek
24857,3,8058055,1.80201E+13,264333,Old Mill Creek
24858,3,2776572,1.80201E+13,233565,Bucks Creek
24859,7,12072860,1.80201E+13,0, 
24860,7,7993025,1.80201E+13,267782,Stony Creek
24861,4,12068878,1.80202E+13,222361,Dibble Creek
24862,6,8006763,1.80201E+13,254604,Benmore Creek
24863,3,7990953,1.80201E+13,0, 
24864,4,2494582,1.80202E+13,259556,Dry Creek
24865,3,14992475,1.80201E+13,267064,North Fork of Middle Fork American River
24866,5,2496138,1.80202E+13,1654949,Sacramento River
