OBJECTID,HUC_8,HUC_10,HUC_12,ACRES,NCONTRB_A,HU_10_GNIS,HU_12_GNIS,HU_10_DS,HU_10_NAME,HU_10_MOD,HU_10_TYPE,HU_12_DS,HU_12_NAME,HU_12_MOD,HU_12_TYPE,META_ID,STATES,CVA_NAME,Shape_Length,Shape_Area
4449,18010105,1801010508,180101050803,30695,0,,,1801010509,Yager Creek,NM,S,180101050906,South Fork Yager Creek-Yager Creek,NM,S,CA01,CA,,72827.66745,124219145.3
4453,18010105,1801010511,180101051101,27357,0,,,1801010703,Salt River-Eel River,NM,S,180101051102,Salt River,NM,S,CA08,CA,,49778.86509,110709844.3
4456,18010105,1801010508,180101050801,30046,0,,,1801010509,Yager Creek,NM,S,180101050803,North Fork Yager Creek,NM,S,CA01,CA,,66064.91147,121591332.9
4461,18010102,1801010206,180101020604,11825,0,,,OCEAN,Humboldt Bay-Frontal Pacific Ocean,NM,F,180101020605,Little Salmon Creek-Salmon Creek,LE,S,CA08,CA,,41606.81961,47852651
4463,18010102,1801010203,180101020301,25448,0,,,1801010204,Middle Mad River,NM,S,180101020302,Pilot Creek,NM,S,CA07,CA,,53854.91244,102985920.8
4466,18010105,1801010511,180101051102,34681,0,,,1801010703,Salt River-Eel River,NM,S,OCEAN,Strongs Creek-Eel River,NM,S,CA08,CA,,66818.43045,140349788
4468,18010102,1801010204,180101020401,32680,0,,,1801010205,Lower Mad River,NM,S,180101020403,Bug Creek-Mad River,NM,S,CA08,CA,,61840.0593,132250958
4470,18010105,1801010508,180101050802,27011,0,,,1801010509,Yager Creek,NM,S,180101050803,Lawrence Creek,NM,S,CA01,CA,,60324.24512,109312037.7
4478,18010102,1801010206,180101020602,30936,0,,,OCEAN,Humboldt Bay-Frontal Pacific Ocean,NM,F,180101020605,Freshwater Creek,LE,S,CA08,CA,,60082.88237,125195931.6
4484,18010102,1801010206,180101020601,12925,0,,,OCEAN,Humboldt Bay-Frontal Pacific Ocean,NM,F,180101020605,Jacoby Creek,TF,S,CA08,CA,,42532.1663,52305339.69
4486,18010102,1801010204,180101020406,33003,0,,,1801010205,Lower Mad River,NM,S,180101020408,Maple Creek-Mad River,LE,S,CA08,CA,,76763.6217,133558886.1
4488,18010102,1801010204,180101020404,10463,0,,,1801010205,Lower Mad River,NM,S,180101020406,Canon Creek,NM,S,CA08,CA,,31946.20379,42344000.1
