full_date,Discharge_CFS
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,3.85
2009-10-01,4.11
2009-10-01,4.11
2009-10-01,4.11
2009-10-01,4.11
2009-10-01,4.11
2009-10-01,4.11
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-01,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.38
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.67
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-02,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,4.97
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-03,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.29
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-04,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.62
2009-10-05,5.96
2009-10-05,5.96
